algoName, instName, numOfJobs, feasible, timeLimit, timeCost,ub, lb, status, numOfVariables, numOfConstraints, nThreads
Mixed Integer Linear Programming,L_00000224,50,true, 60.0, 1.020, 1520, 1520, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000225,50,true, 60.0, 1.094, 1502, 1502, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000226,50,true, 60.0, 1.318, 1280, 1280, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000227,50,true, 60.0, 2.320, 1623, 1623, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000228,50,true, 60.0, 1.253, 1356, 1356, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000229,50,true, 60.0, 0.509, 1394, 1394, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000230,50,true, 60.0, 1.088, 1415, 1415, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000231,50,true, 60.0, 0.753, 1157, 1157, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000232,50,true, 60.0, 0.460, 1291, 1291, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000233,50,true, 60.0, 1.611, 1247, 1247, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000234,50,true, 60.0, 1.655, 1581, 1581, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000235,50,true, 60.0, 0.837, 1246, 1246, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000236,50,true, 60.0, 0.728, 1431, 1431, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000237,50,true, 60.0, 0.748, 1357, 1357, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000238,50,true, 60.0, 0.634, 1361, 1361, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000239,50,false, 60.0, 0.921, 不可行, 1480, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000240,50,true, 60.0, 1.007, 1492, 1492, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000241,50,true, 60.0, 0.760, 1469, 1469, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000242,50,true, 60.0, 0.912, 1393, 1393, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000243,50,true, 60.0, 0.924, 1484, 1484, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000244,50,true, 60.0, 1.025, 1355, 1355, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000245,50,true, 60.0, 1.735, 1436, 1436, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000246,50,true, 60.0, 0.669, 1518, 1518, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000247,50,true, 60.0, 1.010, 1554, 1554, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000248,50,true, 60.0, 0.991, 1491, 1491, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000249,50,true, 60.0, 0.465, 1448, 1448, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000250,60,true, 60.0, 2.258, 1891, 1891, 2, 3721, 301, 0
Mixed Integer Linear Programming,L_00000251,60,true, 60.0, 1.705, 1618, 1618, 2, 3721, 301, 0
Mixed Integer Linear Programming,L_00000252,60,true, 60.0, 1.409, 1653, 1653, 2, 3721, 301, 0
Mixed Integer Linear Programming,L_00000253,60,true, 60.0, 2.192, 1575, 1575, 2, 3721, 301, 0
Mixed Integer Linear Programming,L_00000254,60,true, 60.0, 1.295, 1937, 1937, 2, 3721, 301, 0
